所属地市,所属区县,所属供电所,变电站名称,馈线名称,所属馈线GISID,配变ID,配变名称,电压等级(kV),供电分区分类,电网类型,公专变标志,额定容量(kVA),配变类型,干式/油浸式,配变型号,负荷性质,无功补偿容量(kVar),年最大负荷(kW),年最高负载率(%),最大负荷发生时刻,平均负荷(kW),平均负载率(%),售电量(kWh),供电量(kWh),线损率(%),接入用户数(户),实现一户一表用户数(户),接入用户总容量(kW),接入用户负荷性质,近一年净增接入容量(kW),已接入最大用户报装容量(kW),低压线裸导线长度(km),低压线绝缘线长度(km),低压线总长度(km),最大负荷月供电量(kWh),台区出线回路数(回),台区低压主干线主要线径,低压侧额定电流(A),低压侧额定电压(V),投运日期,是否过载,过载次数,过载累计持续时间(min),是否重载,重载次数,重载累计持续时间(min),过载/重载原因分析,预计下一年是否过载,是否轻载,低压侧最大负荷A相电流(A),低压侧最大负荷B相电流(A),低压侧最大负荷C相电流(A),三相电流不平衡度(%),是否三相不平衡,电压超限时间,首端电压最小值(V),首端电压最大值(V),末端电压最小值(V),末端电压最大值(V),是否存在台区电压偏低，且末端电压低于180V,是否存在台区电压偏低，且末端电压处于180-198V之间,是否存在台区电压偏高，且末端电压高于235V,是否存在台区电压偏高,是否存在台区电压偏低,低电压紧急程度,台区电压偏低主要原因,台区电压偏高主要原因,是否存在残旧设备或线路,是否存在安全隐患,供电半径(m),是否供电半径过大,低电压投诉次数,是否报装受限,配变供电区域报装负荷(kVA),是否需实现光纤覆盖,是否安装配变监测终端,是否需改造配变监测终端,是否存在一变多村,是否高损配变,总电表数(块),智能电表数(块),智能电表覆盖率(%),是否智能电表未全覆盖,已实现低压集抄的用户数(户),低压集抄覆盖率(%),是否低压集抄未全覆盖,主要电能表投运时间,设备状态,是否属于中心村,是否属于贫困地区,是否属于国有林场供电配变,是否属于革命老区示范区,是否已开展可研或列入投资计划项目,备注(规划),备注(生技),备注(营销),备注(调度),系统ID主键,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV南炮台线527,420220516448100.0,418007765159001.0,西平5号公变,10kV,D,农网,公变,100.0,柱上变,油浸式,S11-100/10,居住,150.0,92.0,92.0,2022年07月01日,43.0,43.0,259704.93,268399.7,3.24,211.0,211.0,211.0,居住,28.0,,,,0.0,22366.66,1.0,185.0,144.34,,2010年09月01日,否,0.0,0.0,否,18.0,0.0,,否,否,143.7,122.4,102.3,28.81,否,,227.0,237.0,197.0,207.0,否,否,否,否,否,无,,,否,否,234.0,否,0.0,否,0.0,否,是,否,否,否,211.0,211.0,100.0,否,211.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF320E6256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关井线512,420220608036100.0,418008225277201.0,汕头市潮阳区关埠镇桥东社区居民委员会1#公用台变,10kV,D,农网,公变,1000.0,柱上变,油浸式,S11-M-500/10,居住,150.0,255.0,25.5,2022年07月01日,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,居住,441.0,,,,0.0,0.0,2.0,240.0,1443.42,,2013年03月18日,否,0.0,0.0,否,0.0,0.0,,否,是,315.0,261.0,295.2,17.1429,否,,220.0,230.0,190.0,200.0,否,否,否,否,否,无,,,否,否,250.0,否,0.0,否,0.0,否,是,否,否,否,0.0,0.0,100.0,否,0.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF38C36256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关井线512,420220608036100.0,418008329586401.0,10kV玉一村15#公用台变,10kV,D,农网,公变,315.0,柱上变,油浸式,S11-315,居住,150.0,270.0,85.71,2022年07月01日,94.0,29.84,818556.62,851997.0,3.92,426.0,426.0,426.0,居住,178.0,,,,0.0,70999.75,2.0,185.0,454.68,,2015年12月27日,否,0.0,0.0,是,4.0,0.0,,否,否,276.8,140.5,226.2,49.2413,否,,223.0,233.0,193.0,203.0,否,否,否,否,否,无,,,否,否,220.0,否,0.0,否,0.0,否,是,否,否,否,426.0,426.0,100.0,否,426.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF2C586256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关井线512,420220608036100.0,418007764387001.0,玉一5#公用台变,10kV,D,农网,公变,400.0,柱上变,油浸式,S11-M-400/10,居住,150.0,372.0,93.0,2022年07月01日,136.0,34.0,1164739.28,1229420.6,5.26,697.0,697.0,697.0,居住,147.0,,,,0.0,102451.72,2.0,240.0,577.37,,2011年08月13日,否,0.0,0.0,是,20.0,2.0,,是,否,294.24,323.52,359.04,18.0481,否,,223.0,233.0,193.0,203.0,否,否,是,否,否,无,,,否,否,450.0,否,0.0,否,0.0,否,是,否,否,否,697.0,697.0,100.0,否,697.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF2ED26256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关井线512,420220608036100.0,418007764370901.0,玉一6#公用台变,10kV,D,农网,公变,500.0,柱上变,油浸式,SBH15-M-500/10,居住,150.0,240.0,48.0,2022年07月01日,70.0,14.0,708883.04,726028.0,2.36,275.0,275.0,275.0,居住,395.0,,,,0.0,60502.37,2.0,150.0,721.71,,2012年02月18日,否,0.0,0.0,否,0.0,0.0,,否,否,308.7,214.05,197.25,36.103,否,,226.0,236.0,196.0,206.0,否,否,否,否,否,无,,,否,否,700.0,是,0.0,否,0.0,否,是,否,否,否,275.0,275.0,100.0,否,275.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF30996256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关井线512,420220608036100.0,418007764392901.0,玉一8#公用台变,10kV,D,农网,公变,500.0,柱上变,油浸式,SB13-M-500/10,居住,150.0,180.0,36.0,2022年07月01日,50.0,10.0,438893.08,450034.0,2.48,139.0,139.0,139.0,居住,224.0,,,,0.0,37502.87,2.0,240.0,721.71,,2010年06月24日,否,0.0,0.0,否,0.0,0.0,,否,否,183.2,150.2,103.4,43.559,否,,224.0,234.0,194.0,204.0,否,否,否,否,否,无,,,否,否,315.0,否,0.0,否,0.0,否,是,否,否,否,139.0,139.0,100.0,否,139.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF3DEE6256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关井线512,420220608036100.0,420220666233900.0,10kV关埠玉一21#公用台变,10kV,D,农网,公变,315.0,柱上变,油浸式,SBH15-M-315/10,居住,150.0,239.0,75.87,2022年07月01日,85.0,26.98,575182.99,602078.0,4.47,161.0,161.0,161.0,居住,217.0,,,,0.0,50173.17,2.0,120.0,454.68,,2019年01月22日,否,0.0,0.0,否,0.0,0.0,,否,否,254.5,176.7,112.8,55.6778,否,,225.0,235.0,195.0,205.0,否,否,否,否,否,无,,,否,否,250.0,否,0.0,否,0.0,否,是,否,否,否,161.0,161.0,100.0,否,161.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF34D46256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关井线512,420220608036100.0,418007764670301.0,玉二村1#公用台变,10kV,D,农网,公变,400.0,柱上变,油浸式,SH15-M-400/10,居住,150.0,208.0,52.0,2022年07月01日,84.0,21.0,676159.57,713574.6,5.24,370.0,370.0,370.0,居住,107.0,,,,0.0,59464.55,2.0,240.0,577.37,,2014年12月13日,否,0.0,0.0,否,0.0,0.0,,否,否,240.48,140.16,262.8,46.6667,否,,224.0,234.0,194.0,204.0,否,否,否,否,否,无,,,否,否,300.0,否,0.0,否,0.0,否,是,否,否,否,370.0,370.0,100.0,否,370.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF35B06256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关井线512,420220608036100.0,420220817850500.0,10kV玉一23#公用台变,10kV,D,农网,公变,500.0,柱上变,油浸式,SB13-M-500/10,居住,150.0,140.0,28.0,2022年07月01日,60.0,12.0,0.0,0.0,0.0,126.0,126.0,126.0,居住,557.0,,,,0.0,0.0,2.0,240.0,721.71,,2020年07月10日,否,0.0,0.0,否,0.0,0.0,,否,否,189.8,178.4,225.8,20.992,否,,227.0,237.0,197.0,207.0,否,否,否,否,否,无,,,否,否,350.0,否,0.0,否,0.0,否,是,否,否,否,126.0,126.0,100.0,否,126.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF31A56256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关井线512,420220608036100.0,420220818649700.0,10kV玉一22#公用台变,10kV,D,农网,公变,200.0,柱上变,油浸式,S11-M-200/10,居住,150.0,40.0,20.0,2022年07月01日,14.0,7.0,0.0,0.0,0.0,51.0,51.0,51.0,居住,42.0,,,,0.0,0.0,2.0,240.0,288.68,,2020年07月10日,否,0.0,0.0,否,0.0,0.0,,否,否,54.56,90.72,52.56,42.0635,否,,227.0,237.0,197.0,207.0,否,否,否,否,否,无,,,否,否,650.0,是,0.0,否,0.0,否,是,否,否,否,51.0,51.0,100.0,否,51.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF35CF6256E0533D14930A8E43,,,,,,,,,
